title,year,imdb_score,imdb_votes
The Last Exorcism,2010,5.7,53591
Arthur,2011,5.7,53578
Kon-Tiki,2012,7.1,53568
The Professor and the Madman,2019,7.2,53504
The Take,2016,6.3,53482
Om Shanti Om,2007,6.8,53397
The Rover,2014,6.4,53251
The Ice Road,2021,5.6,53227
Chitty Chitty Bang Bang,1968,7.0,53220
Perfect Stranger,2007,5.7,53208
The Pirates! Band of Misfits,2012,6.7,53182
The River Wild,1994,6.5,52847
The Green Inferno,2013,5.4,52832
Raees,2017,6.6,52725
A Haunted House,2013,5.1,52638
Rachel Getting Married,2008,6.6,52563
Passenger 57,1992,5.9,52489
Free Fire,2016,6.3,52432
Look Who's Back,2015,7.0,52386
#Alive,2020,6.3,52358
Carriers,2009,5.9,52209
Jaws: The Revenge,1987,3.1,52168
G-Force,2009,5.1,52099
The Runaways,2010,6.5,51999
His House,2020,6.4,51963
Operation Finale,2018,6.6,51821
Shutter,2004,7.0,51820
Employee of the Month,2006,5.6,51803
Last Night,2010,6.5,51757
War Machine,2017,6.0,51614
Don't Be Afraid of the Dark,2010,5.5,51513
20th Century Women,2016,7.3,51381
Peter Rabbit,2018,6.6,51031
Congo,1995,5.3,50945
To All the Boys: P.S. I Still Love You,2020,6.1,50890
Veronica,2017,6.2,50766
Anon,2018,6.1,50609
Pink,2016,8.0,50496
Fiddler on the Roof,1971,8.0,50435
Balto,1995,7.1,50375
Striptease,1996,4.6,50361
Starred Up,2013,7.3,50349
Sleeping with Other People,2015,6.5,50107
The Company Men,2010,6.7,50038
Killer Klowns from Outer Space,1988,6.2,49956
Kill the Messenger,2014,6.9,49693
Fred Claus,2007,5.7,49621
The Call,2020,7.1,49408
Dark Places,2015,6.2,49190
Slow West,2015,6.9,49188
Cirque du Freak: The Vampire's Assistant,2009,5.8,49107
All Dogs Go to Heaven,1989,6.8,49079
A Wrinkle in Time,2018,4.3,49047
The Boy Who Harnessed the Wind,2019,7.6,48948
Rebecca,2020,6.0,48862
The Smurfs 2,2013,5.3,48797
Udaan,2010,8.1,48769
The Wrong Missy,2020,5.8,48724
American Honey,2016,7.0,48669
The Spy Next Door,2010,5.5,48624
The Zookeeper's Wife,2017,7.0,48472
Time Trap,2017,6.2,48205
Rumble in the Bronx,1995,6.8,48064
Cradle 2 the Grave,2003,5.8,47997
The Stanford Prison Experiment,2015,6.8,47408
Thunder Force,2021,4.6,47333
Outside the Wire,2021,5.4,47167
The Forest,2016,4.8,47038
Last Knights,2015,6.2,47018
Oxygen,2021,6.5,46839
A Thousand Words,2012,5.9,46668
The Siege of Jadotville,2016,7.2,46665
God's Not Dead,2014,4.6,46278
Suffragette,2015,6.9,45833
The Half Of It,2020,6.9,45816
Stree,2018,7.5,45779
Dear Zindagi,2016,7.4,45726
The One I Love,2014,7.0,45688
Beverly Hills Ninja,1997,5.6,45653
Fatherhood,2021,6.6,45246
The Perfect Date,2019,5.8,45188
Ludo,2020,7.6,45159
Brick Mansions,2014,5.6,45142
The Salvation,2014,6.7,45112
Personal Shopper,2016,6.1,44971
Mimi,2021,7.8,44967
Hustle & Flow,2005,7.3,44675
Maps to the Stars,2014,6.2,43910
The Railway Man,2013,7.1,43869
Camp X-Ray,2014,6.9,43850
Left Behind,2014,3.1,43808
Searching for Bobby Fischer,1993,7.4,43784
Dumb and Dumberer: When Harry Met Lloyd,2003,3.5,43757
Kabir Singh,2019,7.0,43644
Freaks,2018,6.7,43632
Eli,2019,5.8,43474
Braven,2018,5.9,43472
The Physician,2013,7.2,43430
ARQ,2016,6.3,43219
Happy New Year,2014,5.0,43136
Don,2006,7.2,42837
The Roommate,2011,4.8,42817
Main Hoon Na,2004,7.1,42808
At Eternity's Gate,2018,6.9,42697
Malcolm & Marie,2021,6.6,42652
All The Bright Places,2020,6.6,42226
After We Collided,2020,5.1,42205
Sierra Burgess Is A Loser,2018,5.7,42150
Big Fat Liar,2002,5.5,42027
Hold the Dark,2018,5.7,41984
Man of Tai Chi,2013,6.0,41857
We Are Your Friends,2015,6.2,41851
The Stepfather,2009,5.6,41582
Major Payne,1995,6.3,41534
Mother's Day,2016,5.7,41527
The Kissing Booth 2,2020,5.7,41428
13 Sins,2014,6.3,41134
Fools Rush In,1997,6.1,40992
Dilwale,2015,5.1,40716
Mersal,2017,7.5,40484
Osmosis Jones,2001,6.3,40480
Vizontele,2001,8.0,40336
Nowhere Boy,2009,7.1,40291
Paranoia,2013,5.6,40004
Jimmy Neutron: Boy Genius,2001,6.1,39636
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.8,39513
The Angry Birds Movie 2,2019,6.4,39505
Wish I Was Here,2014,6.6,39499
22 July,2018,6.8,39411
Hop,2011,5.4,39311
The Nutcracker and the Four Realms,2018,5.6,39234
Article 15,2019,8.1,39205
Ip Man 4: The Finale,2019,7.0,39195
Prom Night,2008,4.0,39161
Dumplin',2018,6.5,39110
Jiro Dreams of Sushi,2011,7.8,39094
Mute,2018,5.5,39077
The Clovehitch Killer,2018,6.5,38898
The Discovery,2017,6.2,38866
Things Heard & Seen,2021,5.3,38772
Middle Men,2009,6.8,38769
Midnight Sun,2018,6.6,38741
13TH,2016,8.2,38685
God's Own Country,2017,7.6,38676
The Open House,2018,3.3,38635
Prospect,2018,6.3,38620
The Christmas Chronicles: Part Two,2020,6.0,38576
Muppets Most Wanted,2014,6.4,38411
Cam,2018,5.9,38355
The Strangers: Prey at Night,2018,5.3,38344
Winchester,2018,5.5,38342
The Wandering Earth,2019,5.9,38311
La Bamba,1987,7.0,38296
Between Two Ferns: The Movie,2019,6.1,38217
The Devil Inside,2012,4.2,38159
Adore,2013,6.2,38070
Loving,2016,7.0,38014
I Lost My Body,2019,7.5,37984
Exit Wounds,2001,5.6,37983
Jersey Boys,2014,6.8,37949
The Grandmaster,2013,6.6,37919
Howards End,1992,7.4,37652
Mr. Woodcock,2007,5.2,37622
IO,2019,4.8,37274
To All The Boys: Always And Forever,2021,6.3,37158
Sweet Girl,2021,5.5,37064
Creep 2,2017,6.4,37056
The Bad Batch,2016,5.2,37003
Wish Dragon,2021,7.2,36846
The Captive,2014,5.9,36804
The Next Karate Kid,1994,4.6,36644
Popeye,1980,5.4,36567
Bhool Bhulaiyaa,2007,7.5,36510
TAU,2018,5.8,36432
Home Again,2017,5.8,36389
Sliver,1993,5.1,36272
Calibre,2018,6.8,36268
Cop Car,2015,6.3,36184
Wake Up Sid,2009,7.6,36149
Gunjan Saxena: The Kargil Girl,2020,5.5,36006
Sleepless,2017,5.6,35893
American Murder: The Family Next Door,2020,7.2,35882
Jodhaa Akbar,2008,7.5,35838
The Whole Truth,2016,6.2,35734
All the Boys Love Mandy Lane,2006,5.5,35639
Mystic Pizza,1988,6.4,35279
Good Burger,1997,5.8,35169
Seaspiracy,2021,8.1,35103
An Unfinished Life,2005,7.0,35083
Tamasha,2015,7.4,34853
"Game Over, Man!",2018,5.5,34622
The Titan,2018,4.8,34564
Now and Then,1995,6.8,34032
The Red Sea Diving Resort,2019,6.6,33992
The Vault,2021,6.4,33968
Equals,2015,6.0,33950
The End of the Tour,2015,7.2,33779
Instructions Not Included,2013,7.5,33767
Delhi Belly,2011,7.6,33710
Haseen Dillruba,2021,6.9,33606
Udta Punjab,2016,7.7,33416
Dev.D,2009,7.9,33372
The Princess Switch,2018,6.1,33250
Cuties,2020,3.6,33082
YES DAY,2021,5.7,33044
Mr. Church,2016,7.6,32699
Badla,2019,7.7,32686
Bleed for This,2016,6.8,32673
Wildlife,2018,6.8,32609
Cult of Chucky,2017,5.3,32588
Money Talks,1997,6.2,32386
The Indian in the Cupboard,1995,6.0,32334
Clouds of Sils Maria,2014,6.7,32095
Highway,2014,7.6,31985
Playing for Keeps,2012,5.7,31944
The Art of War,2000,5.7,31750
The Night Comes for Us,2018,6.9,31628
My Life as a Zucchini,2016,7.8,31592
Universal Soldier: The Return,1999,4.2,31571
The Nut Job,2014,5.7,31509
The Happytime Murders,2018,5.5,31454
Under the Shadow,2016,6.8,31454
Secret Superstar,2017,7.7,31305
My Boss's Daughter,2003,4.7,31303
Pad Man,2018,7.9,31051
Kaabil,2017,7.2,31003
He's All That,2021,4.4,30949
What the Health,2017,7.2,30922
On Body and Soul,2017,7.5,30915
Beethoven's 2nd,1993,5.0,30798
The Outsider,2018,6.3,30781
Phir Hera Pheri,2006,7.4,30591
Son of a Gun,2014,6.4,30500
Kapoor & Sons,2016,7.7,30413
Strictly Ballroom,1992,7.2,30366
Space Sweepers,2021,6.5,30262
The Book of Henry,2017,6.6,30249
The Blackcoat's Daughter,2015,5.9,30146
The Prom,2020,5.9,30096
Moxie,2021,6.7,29994
Rustom,2016,7.0,29926
The Breadwinner,2017,7.7,29809
Suite Française,2014,7.0,29793
Beckett,2021,5.7,29780
The Bar,2017,6.3,29715
Mandela: Long Walk to Freedom,2013,7.1,29710
An American Tail: Fievel Goes West,1991,6.5,29529
Domestic Disturbance,2001,5.6,29507
The Jane Austen Book Club,2007,6.7,29499
Sand Castle,2017,6.3,29425
Before the Flood,2016,8.2,29403
Bodyguard,2011,4.8,29337
Bright Star,2009,6.9,29337
Hamburger Hill,1987,6.7,29197
Remember,2015,7.5,29137
Jaane Tu... Ya Jaane Na,2008,7.4,29039
Alice Doesn't Live Here Anymore,1974,7.3,28822
Berlin Syndrome,2017,6.3,28704
The Lovebirds,2020,6.1,28656
Tall Girl,2019,5.2,28618
Friend Request,2016,5.2,28594
Bad Trip,2021,6.5,28425
Close,2019,5.7,28184
Open Season 2,2008,5.5,28115
Marshall,2017,7.3,27979
Awake,2021,4.9,27962
Welcome,2007,7.1,27936
Gabbar Is Back,2015,7.0,27896
2 States,2014,6.9,27886
Shark Night,2011,4.1,27876
The Little Hours,2017,5.8,27605
In the Cut,2003,5.4,27325
The Bye Bye Man,2017,4.3,27156
Mississippi Grind,2015,6.4,27150
Cowspiracy: The Sustainability Secret,2014,8.1,27115
It Takes Two,1995,6.0,27049
Special Correspondents,2016,5.9,27041
Crocodile Dundee in Los Angeles,2001,4.8,27036
Nights in Rodanthe,2008,6.0,27032
Lakshya,2004,7.8,27015
The Ottoman Lieutenant,2017,6.4,26970
Frozen River,2008,7.1,26930
Mansfield Park,1999,7.0,26909
Schumacher,2021,7.4,26839
Amanda Knox,2016,6.9,26832
The Art of the Steal,2013,6.3,26802
Obvious Child,2014,6.7,26794
Get on Up,2014,6.9,26771
Rose Island,2020,7.0,26704
Someone Great,2019,6.2,26693
Lost Girls,2020,6.2,26651
Super Dark Times,2017,6.6,26627
Rim of the World,2019,5.3,26492
The Flintstones in Viva Rock Vegas,2000,3.7,26454
Ocean's Eleven,1960,6.5,26448
A Little Chaos,2014,6.5,26352
Quigley Down Under,1990,6.9,26288
Streets of Fire,1984,6.7,26277
ATM,2012,4.7,26270
Angel Eyes,2001,5.7,26239
Over the Moon,2020,6.3,26225
Let It Snow,2019,5.9,26207
Backcountry,2014,6.0,26134
6 Days,2017,6.2,26125
Miss Americana,2020,7.4,26072
Parmanu: The Story of Pokhran,2018,7.6,26030
Madras Café,2013,7.6,26026
Hotel for Dogs,2009,5.5,25870
New York Minute,2004,5.0,25839
The Week Of,2018,5.2,25832
Secret Obsession,2019,4.5,25829
Leap!,2016,6.8,25826
Guru,2007,7.7,25748
Ala Vaikunthapurramuloo,2020,7.3,25635
Brain on Fire,2016,6.6,25628
The Butterfly's Dream,2013,7.6,25587
Rowdy Rathore,2012,5.8,25552
Gigi,1958,6.6,25550
Saaho,2019,5.1,25533
The Great Hack,2019,7.0,25515
Good Kill,2014,6.4,25499
One Direction: This Is Us,2013,4.4,25419
Life After Beth,2014,5.7,25342
Goosebumps 2: Haunted Halloween,2018,5.6,25230
True Memoirs of an International Assassin,2016,5.9,25217
Maximum Risk,1996,5.6,25079
IBOY,2017,5.9,24939
The Kissing Booth 3,2021,4.8,24908
Düğün Dernek,2013,6.9,24840
A Haunted House 2,2014,4.7,24834
Igor,2008,5.9,24810
Bad Genius,2017,7.6,24792
Prem Ratan Dhan Payo,2015,4.4,24781
The Riot Club,2014,6.0,24704
American Factory,2019,7.4,24682
Marauders,2016,5.5,24536
MI-5,2015,6.2,24520
Ugly,2013,7.9,24520
The Great Raid,2005,6.6,24489
The Mirror Has Two Faces,1996,6.6,24455
Beyond Skyline,2017,5.3,24412
Croupier,1998,7.0,24350
The Last Letter From Your Lover,2021,6.7,24267
Little Evil,2017,5.7,24204
Like Father,2018,6.1,24096
Barely Lethal,2015,5.4,24076
Wine Country,2019,5.5,23911
Closed Circuit,2013,6.2,23881
Kingsglaive: Final Fantasy XV,2016,6.7,23872
Junebug,2005,6.9,23808
Namastey London,2007,7.1,23743
Jab Harry Met Sejal,2017,5.1,23722
Abducted in Plain Sight,2017,6.8,23664
Smart People,2008,6.1,23643
Mad Money,2008,5.9,23626
Charlotte's Web,1973,6.9,23587
A Classic Horror Story,2021,5.7,23554
Zoom,2006,4.4,23549
Center Stage,2000,6.7,23516
Falling Inn Love,2019,5.7,23429
Kabhi Alvida Naa Kehna,2006,6.1,23380
Trash,2014,7.1,23362
Skiptrace,2016,5.6,23357
Intrusion,2021,5.3,23341
Pyaar Ka Punchnama,2011,7.6,23295
The Hurricane Heist,2018,5.1,23269
Sarkar,2018,6.7,23262
By the Sea,2015,5.3,23247
Rock On!!,2008,7.7,23234
The Wolf's Call,2019,6.9,23220
Private Life,2018,7.2,23193
Nothing to Lose,2018,2.4,23174
"The Goods: Live Hard, Sell Hard",2009,5.7,23052
Wheelman,2017,6.4,23033
Avengement,2019,6.6,22982
He Never Died,2015,6.3,22982
The Command,2018,6.6,22962
A Christmas Prince,2017,5.8,22939
The Package,2018,5.6,22882
Vivo,2021,6.7,22856
Black Friday,2004,8.4,22829
Love Wedding Repeat,2020,5.6,22818
SAS: Rise of the Black Swan,2021,5.3,22769
Into the Forest,2015,5.8,22699
Suburra,2015,7.4,22695
David Brent: Life on the Road,2016,6.3,22687
The Willoughbys,2020,6.4,22634
Naked,2017,5.4,22562
The Longest Yard,1974,7.1,22509
Toc Toc,2017,6.8,22500
Happy as Lazzaro,2018,7.5,22467
The Game Changers,2018,7.8,22401
Below Zero,2021,6.2,22329
Kidnapping Mr. Heineken,2015,6.1,22189
The Super,2017,5.2,22168
Set Up,2011,4.4,22089
Tallulah,2016,6.7,22017
Wadjda,2012,7.5,22009
5 to 7,2014,7.1,22000
A Private War,2018,6.7,21994
In a Valley of Violence,2016,6.1,21940
Casa de mi Padre,2012,5.5,21939
Quartet,2012,6.8,21881
The Dawn Wall,2017,8.1,21868
Blue Jay,2016,7.3,21791
My Girl 2,1994,5.3,21730
The Knight Before Christmas,2019,5.6,21600
I Don't Know How She Does It,2011,5.0,21569
Jingle Jangle: A Christmas Journey,2020,6.4,21568
Gol Maal,1979,8.5,21551
FullMetal Alchemist,2017,5.3,21515
First They Killed My Father,2017,7.2,21507
The Rugrats Movie,1998,5.9,21484
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,21450
Horse Girl,2020,6.0,21391
Eddie Murphy: Raw,1987,7.6,21343
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,21195
Dil Dhadakne Do,2015,7.0,21178
Superstar,1999,5.2,21153
War on Everyone,2016,5.8,21083
Dark Crimes,2016,4.6,21081
Big Miracle,2012,6.5,21011
The Best of Enemies,2019,7.3,21003
Ready,2011,4.9,20995
The Occupant,2020,6.4,20943
Singham,2011,6.8,20923
Hell Fest,2018,5.5,20775
Life of Crime,2013,5.8,20770
The Witch: Part 1 - The Subversion,2018,7.1,20707
Raat Akeli Hai,2020,7.2,20654
Golmaal: Fun Unlimited,2006,7.5,20641
The Night Clerk,2020,5.6,20570
Tracers,2015,5.6,20538
Hangman,2017,5.2,20527
Wazir,2016,7.1,20524
Dhamaal,2007,7.5,20515
Next Gen,2018,6.6,20467
The Congress,2013,6.4,20435
Guzaarish,2010,7.4,20396
Earth to Echo,2014,5.7,20192
Alex Strangelove,2018,6.3,20176
The Monster,2016,5.4,20173
Kabhi Haan Kabhi Naa,1994,7.6,20062
Like Water for Chocolate,1992,7.1,19896
"Love, Guaranteed",2020,5.6,19879
Paris Is Burning,1990,8.2,19865
Sandy Wexler,2017,5.2,19798
The Vatican Tapes,2015,4.7,19743
Hard Kill,2020,3.1,19742
Aftermath,2021,5.3,19738
Raajneeti,2010,7.1,19697
Dangerous Lies,2020,5.4,19617
The Prince,2014,4.6,19524
Once Upon a Time in Mumbaai,2010,7.4,19379
Mrs. Serial Killer,2020,4.0,19366
The Good Neighbor,2016,6.3,19302
The Sea of Trees,2015,6.1,19289
Shadow,2018,7.0,19239
Ibiza,2018,5.2,19206
Mirai,2018,7.0,19175
Super Deluxe,2019,8.2,19134
The Cincinnati Kid,1965,7.2,19078
The Boys in the Band,2020,6.8,19018
Hot Girls Wanted,2015,6.1,18858
Sleepover,2004,5.3,18839
Mutiny on the Bounty,1962,7.2,18812
The Haunting in Connecticut 2: Ghosts of Georgia,2013,5.3,18801
Torbaaz,2020,5.2,18796
Wakefield,2016,6.3,18763
Gangaajal,2003,7.8,18742
The Invisible Guardian,2017,6.4,18738
Oye Lucky! Lucky Oye!,2008,7.7,18720
Malevolent,2018,4.9,18694
Kaminey,2009,7.4,18681
How to Be a Latin Lover,2017,6.0,18656
Tell Me Who I Am,2019,7.6,18639
Don't Think Twice,2016,6.7,18618
We Can Be Heroes,2020,4.7,18602
A Futile and Stupid Gesture,2018,6.7,18587
Metallica Through The Never,2013,7.1,18543
Holiday in the Wild,2019,6.2,18514
The Kindergarten Teacher,2018,6.7,18479
Paradise Hills,2019,5.2,18451
The Hater,2020,7.1,18386
Mary and the Witch's Flower,2017,6.8,18376
Newness,2017,6.3,18355
Sarah's Key,2010,7.5,18353
Rememory,2017,6.1,18272
Polaroid,2019,5.2,18219
American Outlaws,2001,5.9,18215
Level 16,2018,6.1,18215
Nothing to Hide,2018,6.8,18208
A Fall from Grace,2020,5.9,18193
Flash of Genius,2008,7.0,18174
Mujhse Shaadi Karogi,2004,6.7,18124
Race 2,2013,5.4,18100
Ajab Prem Ki Ghazab Kahani,2009,6.4,18098
Handsome Devil,2016,7.0,18087
American Heist,2014,5.0,17975
The Legend of Bhagat Singh,2002,8.1,17830
Occupation,2018,4.5,17797
Good People,2014,5.5,17717
Girl,2018,7.2,17643
Freedomland,2006,5.2,17615
Blue Mountain State: The Rise of Thadland,2016,5.7,17552
The Darkness,2016,4.5,17520
Christine,2016,6.9,17508
OtherLife,2017,6.2,17487
House Party,1990,6.5,17442
I Am the Pretty Thing That Lives in the House,2016,4.6,17433
Shimmer Lake,2017,6.3,17395
Chalte Chalte,2003,6.5,17358
The Hummingbird Project,2018,6.2,17310
Night Moves,2013,6.1,17303
Demonic,2015,5.3,17263
Tanu Weds Manu,2011,6.8,17183
The Last Thing He Wanted,2020,4.4,17181
Hasee Toh Phasee,2014,6.8,17139
Work It,2020,6.1,17040
Money Trap,2019,6.0,17013
Headshot,2016,6.3,16949
24 Hours to Live,2017,5.8,16944
I Am Wrath,2016,5.4,16880
Cats & Dogs: The Revenge of Kitty Galore,2010,4.4,16869
Pyaar Ka Punchnama 2,2015,7.2,16848
Dostana,2008,6.4,16834
Company,2002,7.9,16826
Race,2008,6.7,16801
Pardes,1997,6.9,16780
A Shaun the Sheep Movie: Farmageddon,2019,6.8,16778
Bhagam Bhag,2006,6.7,16598
1BR,2019,5.8,16483
The Death of Mr. Lazarescu,2005,7.8,16457
A Whisker Away,2020,6.7,16433
6 Bullets,2012,6.0,16358
The Exception,2016,6.8,16335
The Starling,2021,6.4,16298
Best of the Best,1989,6.4,16285
Imagine That,2009,5.6,16268
Point Blank,2019,5.7,16227
Yoga Hosers,2016,4.3,16212
Earthquake Bird,2019,6.0,16195
The Edge of Democracy,2019,7.3,16173
I Am not an Easy Man,2018,6.3,16172
The Angel,2018,6.7,16170
Lost Bullet,2020,6.4,16071
The Life Ahead,2020,6.8,16039
Paddleton,2019,7.2,15978
Asoka,2001,6.4,15888
Act of Vengeance,2010,5.7,15856
Bulbbul,2020,6.6,15804
Kicking and Screaming,1995,6.6,15753
The Sapphires,2012,7.0,15727
Cosmic Sin,2021,2.5,15723
Our Souls at Night,2017,6.9,15721
Kill Command,2016,5.7,15697
The Paramedic,2020,5.7,15693
Madaari,2016,7.6,15636
Berlin Calling,2008,7.2,15608
AK vs AK,2020,6.9,15608
Shikara,2020,3.4,15568
Ittefaq,2017,7.2,15557
Sairat,2016,8.3,15473
Don't Knock Twice,2016,5.1,15438
Below Her Mouth,2016,5.5,15418
Red Dot,2021,5.5,15402
Tees Maar Khan,2010,2.8,15370
The Eyes of My Mother,2016,6.2,15361
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,15304
In Darkness,2018,5.8,15294
Paid in Full,2002,7.0,15279
The Girl on the Train,2021,4.0,15272
Nobody Sleeps in the Woods Tonight,2020,4.9,15252
Even the Rain,2010,7.4,15249
"What Happened, Miss Simone?",2015,7.6,15172
Chappaquiddick,2017,6.4,15155
Kilo Two Bravo,2014,7.1,15142
USS Indianapolis: Men of Courage,2016,5.3,15047
Rust Creek,2018,5.9,15022
Karthik Calling Karthik,2010,7.1,14984
Coffee & Kareem,2020,5.2,14968
Little Monsters,1989,6.0,14947
The Last Summer,2019,5.6,14921
You Get Me,2017,4.7,14882
The American Meme,2018,6.1,14876
Paheli,2005,6.4,14875
Humpty Sharma Ki Dulhania,2014,6.0,14829
Ferry,2021,7.0,14812
Good on Paper,2021,5.6,14759
The Meddler,2015,6.3,14744
Paper Lives,2021,6.6,14721
Chup Chup Ke,2006,7.0,14678
Wildling,2018,5.5,14671
Brothers,2015,6.4,14641
Luka Chuppi,2019,6.4,14628
Incarnate,2016,5.3,14589
Ne Zha,2019,7.4,14574
The Princess Switch: Switched Again,2020,5.4,14566
Bushwick,2017,5.2,14542
The Look of Silence,2014,8.2,14528
Hoodwinked Too! Hood vs. Evil,2011,4.7,14495
Major Grom: Plague Doctor,2021,6.3,14475
Backtrack,2015,5.9,14418
Cut Bank,2014,6.1,14395
Billu,2009,6.4,14345
A Family Man,2016,6.5,14328
Bombay,1995,8.1,14327
Acts of Vengeance,2017,5.7,14305
Snow Day,2000,5.2,14304
Feel the Beat,2020,6.3,14291
Black or White,2014,6.6,14265
20 Feet From Stardom,2013,7.4,14257
Deadly Illusions,2021,3.8,14255
TE3N,2016,7.2,14238
Ophelia,2018,6.5,14204
Memoir of a Murderer,2017,7.2,14176
Carrie Pilby,2016,6.7,14131
Copenhagen,2014,7.0,14117
Christmas Inheritance,2017,5.7,14065
The Distinguished Citizen,2016,7.5,14028
The Long Riders,1980,6.9,14027
Gaga: Five Foot Two,2017,7.0,14025
Loving Annabelle,2006,6.2,14020
W.E.,2011,6.2,13952
Trailer Park Boys: The Movie,2006,7.1,13922
Fukrey,2013,6.9,13918
Holding the Man,2015,7.4,13866
My Scientology Movie,2015,6.6,13822
Black '47,2018,6.8,13804
Lust Stories,2018,6.4,13759
Acts of Violence,2018,5.3,13754
Lo and Behold: Reveries of the Connected World,2016,7.0,13679
The Young Offenders,2016,7.1,13675
Maine Pyar Kiya,1989,7.3,13674
Free to Play,2014,7.6,13670
Operation Christmas Drop,2020,5.9,13660
Chupke Chupke,1975,8.3,13641
No Entry,2005,6.6,13639
Fashion,2008,6.9,13531
Petta,2019,7.2,13499
The Photographer Of Mauthausen,2018,6.8,13447
6 Years,2015,5.5,13399
Oasis: Supersonic,2016,7.8,13397
Triple Threat,2019,5.6,13372
Mohenjo Daro,2016,5.6,13364
In This Corner of the World,2016,7.8,13345
Ankhon Dekhi,2013,7.9,13332
Father of the Year,2018,5.2,13213
Athlete A,2020,7.6,13168
The Coldest Game,2019,6.2,13123
Otherhood,2019,6.1,13119
Rock the Kasbah,2015,5.5,13092
Knock Down The House,2019,7.4,13090
Ghosts of War,2020,5.6,13090
Tyson,2008,7.4,13087
Cadaver,2020,5.2,13082
Small Town Crime,2017,6.6,13080
Queen of the Desert,2015,5.7,13072
Swiped,2018,2.8,12950
The Fury of a Patient Man,2016,6.7,12914
Palm Trees in the Snow,2015,7.3,12909
Other People,2016,6.8,12894
How to Make an American Quilt,1995,6.3,12878
Forks Over Knives,2011,7.7,12867
Jagame Thandhiram,2021,5.8,12866
Malang,2020,6.5,12831
Unaccompanied Minors,2006,5.4,12810
First Kill,2017,5.0,12802
The Sleepover,2020,5.7,12798
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.7,12778
Murder Party,2007,5.8,12769
The Vanished,2020,5.7,12763
Aftershock,2012,4.8,12757
The Last Days of American Crime,2020,3.8,12746
No One Killed Jessica,2011,7.2,12739
Jagga Jasoos,2017,6.4,12725
XX,2017,4.6,12700
Mom,2017,7.2,12699
Berserk: The Golden Age Arc III - The Advent,2013,7.8,12690
Boss,2013,5.1,12661
Kickboxer: Vengeance,2016,4.9,12599
Virunga,2014,8.1,12562
A Christmas Prince: The Royal Wedding,2018,5.3,12560
The Humanity Bureau,2017,4.5,12505
The Duel,2016,5.8,12477
Code Name: The Cleaner,2007,4.6,12437
Iron Sky: The Coming Race,2019,5.0,12378
Fisherman's Friends,2019,7.0,12368
The Car,1977,6.2,12332
Judwaa 2,2017,3.7,12321
Extraction,2015,4.1,12294
Fantastic Fungi,2019,7.4,12262
White Girl,2016,5.7,12234
Holidays,2016,5.1,12203
The Book of Sun,2020,7.9,12202
The African Doctor,2016,7.0,12183
Sweet Virginia,2017,6.2,12115
Dügün Dernek 2: Sünnet,2015,6.3,12087
The Holiday Calendar,2018,5.7,12061
Spyder,2017,6.3,12035
Ginger & Rosa,2012,6.2,12028
See You Yesterday,2019,5.3,12021
Mine 9,2019,6.0,12019
Una,2016,6.2,12008
Kung Fu Yoga,2017,5.2,11963
A California Christmas,2020,5.8,11951
Singularity,2017,3.6,11948
The D Train,2015,5.1,11916
Buster's Mal Heart,2016,6.1,11894
Jumping the Broom,2011,5.7,11878
Cabin Fever,2016,3.7,11845
Mary Kom,2014,6.8,11841
Merantau,2009,6.7,11835
Aamir,2008,7.6,11810
Bullet Head,2017,5.4,11802
The Pirates of Somalia,2017,6.7,11696
Stuck Apart,2021,6.0,11692
The Age of Shadows,2016,7.1,11663
Vivah,2006,6.7,11661
Vampires vs. the Bronx,2020,5.7,11659
The Blue Elephant 2,2019,8.0,11627
Girl on the Third Floor,2019,4.7,11607
Sergio,2020,6.2,11594
El Camino Christmas,2017,5.7,11556
5 Flights Up,2014,6.2,11527
Monsters: Dark Continent,2014,4.3,11506
Luck by Chance,2009,7.1,11496
Desperados,2020,5.2,11480
November Criminals,2017,5.3,11409
Aitraaz,2004,6.6,11371
Roohi,2021,4.3,11367
Neruda,2016,6.8,11358
Good Kids,2016,6.1,11327
Afterlife of the Party,2021,5.8,11307
Shootout at Lokhandwala,2007,7.1,11290
Inconceivable,2017,5.2,11248
The Case for Christ,2017,6.4,11236
The Resistance Banker,2018,6.9,11231
Into the Grizzly Maze,2015,5.3,11231
Chaman Bahaar,2020,6.9,11205
4th Man Out,2015,6.7,11204
Nightbooks,2021,5.8,11115
American Me,1992,7.1,11111
Blackway,2015,5.3,11067
Love Aaj Kal,2020,4.7,11060
Jiu Jitsu,2020,2.9,11057
A Sun,2019,7.6,11029
Behind the Curve,2018,6.5,11017
Bhavesh Joshi Superhero,2018,7.6,10980
Atlantics,2019,6.7,10973
The Dirty Picture,2011,6.6,10958
Pagglait,2021,6.9,10953
Baaghi,2016,5.3,10940
Doom: Annihilation,2019,3.8,10908
Isi & Ossi,2020,6.4,10906
Sightless,2020,5.5,10890
Underdogs,2013,6.4,10881
The Legacy of the Bones,2019,6.4,10881
The Late Bloomer,2016,5.2,10854
Divines,2016,7.3,10834
The Unknown Girl,2016,6.5,10815
