title,year,imdb_score,imdb_votes
Bad Boys II,2003,6.6,282382
War Dogs,2016,7.1,281795
Lincoln,2012,7.3,279991
Chappie,2015,6.8,278940
GoldenEye,1995,7.2,278676
21,2008,6.8,275563
Cloudy with a Chance of Meatballs,2009,6.9,274644
Unknown,2011,6.8,273858
The Twilight Saga: Eclipse,2010,5.1,272791
A Separation,2011,8.3,271159
Legally Blonde,2001,6.5,270788
Philadelphia,1993,7.7,268046
Hell or High Water,2016,7.6,267591
Austin Powers: International Man of Mystery,1997,7.0,267292
The Bucket List,2007,7.3,267039
Paranormal Activity,2007,6.3,266151
Primal Fear,1996,7.7,265694
The Tourist,2010,6.0,264538
The Boy in the Striped Pajamas,2008,7.7,263936
The Lincoln Lawyer,2011,7.3,263516
What's Eating Gilbert Grape,1993,7.7,263186
The Talented Mr. Ripley,1999,7.4,262975
Ghost Rider,2007,5.3,262769
The Karate Kid,1984,7.3,262414
Madagascar: Escape 2 Africa,2008,6.6,261838
Tarzan,1999,7.3,261089
Lawless,2012,7.2,259500
The Polar Express,2004,6.6,258601
Austin Powers: The Spy Who Shagged Me,1999,6.7,257472
Knowing,2009,6.2,257308
The Impossible,2012,7.5,257235
Mars Attacks!,1996,6.4,253374
The Artist,2011,7.8,252868
No Strings Attached,2011,6.2,251225
The Adventures of Tintin,2011,7.3,250197
Rosemary's Baby,1968,8.0,249939
Captain Fantastic,2016,7.8,245068
Safe House,2012,6.7,244935
Big Daddy,1999,6.4,244697
The Croods,2013,7.1,244353
The Evil Dead,1981,7.4,244127
Chef,2014,7.3,243948
Transcendence,2014,6.2,243836
Rocky II,1979,7.3,242007
Stranger than Fiction,2006,7.5,241665
Bolt,2008,6.8,240438
Mad Max,1979,6.8,239854
Ip Man,2008,8.0,239439
Willy Wonka & the Chocolate Factory,1971,7.8,238399
Rocky IV,1985,6.9,237470
The Ugly Truth,2009,6.4,237427
Anger Management,2003,6.3,236151
Enola Holmes,2020,6.6,235590
Die Another Day,2002,6.1,235557
Basic Instinct,1992,7.1,234342
Get Smart,2008,6.5,234065
Revolutionary Road,2008,7.3,231142
Austin Powers in Goldmember,2002,6.2,230077
Dangal,2016,8.3,229151
Enemy,2013,6.9,228882
Fracture,2007,7.2,228634
A Walk to Remember,2002,7.3,227701
17 Again,2009,6.4,226285
Scream 2,1997,6.3,224559
The Crow,1994,7.5,224213
P.S. I Love You,2007,7.0,222855
You Don't Mess with the Zohan,2008,5.6,222164
Taare Zameen Par,2007,8.3,221333
Rocky III,1982,6.9,221194
Blue Valentine,2010,7.3,219803
Carrie,1976,7.4,219708
Air Force One,1997,6.5,219121
Klaus,2019,8.2,217214
Blue Jasmine,2013,7.3,217160
Legend,2015,6.9,216255
The World Is Not Enough,1999,6.4,215703
Stargate,1994,7.0,213946
The Taking of Pelham 123,2009,6.4,213711
PK,2014,8.1,212788
Harold & Kumar Go to White Castle,2004,7.0,212495
The Next Three Days,2010,7.3,212332
Tomorrow Never Dies,1997,6.5,210788
Madagascar 3: Europe's Most Wanted,2012,6.8,209704
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,208482
Event Horizon,1997,6.6,207349
Bright,2017,6.3,206834
Final Destination 2,2003,6.2,206485
6 Underground,2019,6.1,206376
The Killing of a Sacred Deer,2017,7.0,205727
The Mask of Zorro,1998,6.8,205275
The Invisible Guest,2016,8.0,204567
The Danish Girl,2015,7.1,204052
Puss in Boots,2011,6.6,203529
Layer Cake,2004,7.2,203495
Charlie's Angels,2000,5.6,203095
The Old Guard,2020,6.7,202466
The Trial of the Chicago 7,2020,7.7,201171
Swordfish,2001,6.5,200777
The Naked Gun: From the Files of Police Squad!,1988,7.6,199996
Jupiter Ascending,2015,5.3,199043
Molly's Game,2017,7.4,197913
About a Boy,2002,7.1,196742
Army of the Dead,2021,5.8,196459
Mud,2012,7.4,195616
The Founder,2016,7.2,195008
Cool Hand Luke,1967,8.0,194869
The Bank Job,2008,7.2,194288
The Master,2012,7.1,193554
XXx,2002,5.9,190822
Bee Movie,2007,6.1,190453
Get Him to the Greek,2010,6.3,188548
The Lovely Bones,2009,6.6,187026
The Waterboy,1998,6.2,186674
Zack and Miri Make a Porno,2008,6.5,185049
Resident Evil: Afterlife,2010,5.8,184298
Steve Jobs,2015,7.2,184122
Milk,2008,7.5,183461
Team America: World Police,2004,7.2,182920
Coach Carter,2005,7.3,181789
Murder Mystery,2019,6.1,181724
The Princess and the Frog,2009,7.2,179582
The Last Airbender,2010,4.0,178979
The Ballad of Buster Scruggs,2018,7.2,177833
Beowulf,2007,6.3,177812
Four Weddings and a Funeral,1994,7.1,175404
Scream 3,2000,5.7,175266
ROMA,2018,7.6,174937
Final Destination 3,2006,5.9,174801
Saving Mr. Banks,2013,7.5,173429
Underworld: Rise of the Lycans,2009,6.5,172505
Invictus,2009,7.3,171769
Next,2007,6.2,171594
Wild Wild West,1999,4.9,171142
War Horse,2011,7.2,170116
Snowden,2016,7.3,169153
The Disaster Artist,2017,7.3,169001
Memoirs of a Geisha,2005,7.3,167974
The Green Hornet,2011,5.8,167316
The King,2019,7.3,167311
The Spectacular Now,2013,7.0,166101
The Visit,2015,6.3,166096
Under The Skin,2013,6.3,165362
Rounders,1998,7.3,165277
Locke,2013,7.1,165274
Underworld: Awakening,2012,6.3,165161
Jay and Silent Bob Strike Back,2001,6.8,164514
State of Play,2009,7.1,164410
Crimson Peak,2015,6.5,164404
Hush,2016,6.6,163864
"Love, Rosie",2014,7.1,163724
The Devil All The Time,2020,7.1,162961
The Time Traveler's Wife,2009,7.1,162850
The Lake House,2006,6.8,162393
Dear John,2010,6.3,161462
Cold Mountain,2003,7.2,161231
Remember Me,2010,7.1,160109
Tremors,1990,7.2,159924
Evan Almighty,2007,5.4,159864
Mr. Deeds,2002,5.8,159432
Starsky & Hutch,2004,6.1,159132
Defiance,2008,7.1,159076
I Am Sam,2001,7.6,159018
Labyrinth,1986,7.3,158765
Kung Fu Hustle,2004,7.7,158210
S.W.A.T.,2003,6.1,157735
Killing Them Softly,2012,6.2,157569
Rocky V,1990,5.4,156971
The Imaginarium of Doctor Parnassus,2009,6.7,156255
Stuart Little,1999,6.0,156249
Vantage Point,2008,6.6,156157
Triple Frontier,2019,6.5,155573
The Autopsy of Jane Doe,2016,6.8,155563
Winter's Bone,2010,7.1,155067
A Serious Man,2009,7.0,154907
The Invention of Lying,2009,6.4,154434
9,2009,7.0,153663
Spring Breakers,2012,5.3,152502
The Strangers,2008,6.1,152307
She's Out of My League,2010,6.4,150216
Carol,2015,7.3,149667
Green Room,2015,7.0,148937
Hunt for the Wilderpeople,2016,7.8,148680
Billy Elliot,2000,7.7,148628
Monster House,2006,6.7,148510
Good Time,2017,7.3,148476
Deep Blue Sea,1999,5.9,148349
"Hail, Caesar!",2016,6.3,147215
The Edge of Seventeen,2016,7.3,147167
Den of Thieves,2018,7.0,146916
Chasing Amy,1997,7.2,146802
Green Zone,2010,6.8,145763
Cliffhanger,1993,6.5,145328
Harold & Kumar Escape from Guantanamo Bay,2008,6.5,144491
Accepted,2006,6.4,143247
The Two Popes,2019,7.6,143135
Hairspray,2007,6.7,143131
The Break-Up,2006,5.8,142731
Doubt,2008,7.5,142620
Life as We Know It,2010,6.5,142599
Black Mirror: Bandersnatch,2018,7.1,141603
What Lies Beneath,2000,6.6,141312
The Florida Project,2017,7.6,141276
What Happened to Monday,2017,6.8,140930
The Score,2001,6.8,140579
The Men Who Stare at Goats,2009,6.2,140254
Evolution,2001,6.1,140100
Okja,2017,7.3,138522
Swiss Army Man,2016,6.9,138060
The Bounty Hunter,2010,5.6,137885
Homefront,2013,6.5,137723
Gerald's Game,2017,6.5,137241
Savages,2012,6.4,137190
16 Blocks,2006,6.6,137031
Charlie's Angels: Full Throttle,2003,5.0,136806
The Mitchells vs. The Machines,2021,7.6,136161
Y Tu Mamá También,2001,7.7,136060
Æon Flux,2005,5.4,135403
The Phantom of the Opera,2004,7.2,135295
Tears of the Sun,2003,6.6,135169
Something's Gotta Give,2003,6.7,133792
The Time Machine,2002,6.0,133728
Parker,2013,6.2,133599
Safety Not Guaranteed,2012,6.9,133517
The Whole Nine Yards,2000,6.7,133269
Julie & Julia,2009,7.0,133026
The Final Destination,2009,5.1,132680
Spy Kids,2001,5.6,132554
Just Friends,2005,6.2,132385
The Sum of All Fears,2002,6.5,130107
The Life of David Gale,2003,7.5,129977
The Brothers Grimm,2005,5.9,129303
The Foreigner,2017,7.0,128981
Mortal Kombat,1995,5.8,128766
The Nutty Professor,1996,5.7,128287
Valentine's Day,2010,5.8,128180
Child's Play,1988,6.7,126154
Patriot Games,1992,6.8,125475
Bonnie and Clyde,1967,7.7,125448
The Invitation,2015,6.6,125058
From Paris with Love,2010,6.4,124870
Rang De Basanti,2006,8.1,124792
Mean Streets,1973,7.2,124737
"As Above, So Below",2014,6.3,124255
Friday the 13th,2009,5.5,122766
Gothika,2003,5.8,122521
Not Another Teen Movie,2001,5.8,122256
Doom,2005,5.2,121993
Paul Blart: Mall Cop,2009,5.3,121707
The Death of Stalin,2017,7.3,121556
Cloudy with a Chance of Meatballs 2,2013,6.3,121327
Only God Forgives,2013,5.7,121095
The Amityville Horror,2005,5.9,120741
A Single Man,2009,7.5,120593
Do the Right Thing,1989,8.0,119887
In the Line of Fire,1993,7.2,119491
Safe Haven,2013,6.7,119439
Turbo,2013,6.4,119379
Angel Has Fallen,2019,6.4,118303
The Queen,2006,7.3,118092
What Dreams May Come,1998,7.0,118013
The Cloverfield Paradox,2018,5.5,117938
Tenacious D in The Pick of Destiny,2006,6.8,117865
Enter the Dragon,1973,7.6,117530
Movie 43,2013,4.4,117403
Home,2015,6.5,117290
The Last Boy Scout,1991,7.0,117151
Legion,2010,5.3,116953
The Babysitter,2017,6.4,116862
Little Nicky,2000,5.3,116588
Across the Universe,2007,7.3,116445
The Iron Lady,2011,6.4,115518
The Craft,1996,6.5,115428
Ip Man 2,2010,7.5,114434
Leap Year,2010,6.4,114189
ParaNorman,2012,7.0,114126
Dinner for Schmucks,2010,5.9,113952
Poseidon,2006,5.7,113521
Clear and Present Danger,1994,6.9,113200
Lolita,1962,7.5,113118
The Interpreter,2005,6.4,112795
Brick,2005,7.1,112593
The Forbidden Kingdom,2008,6.5,112055
Knock Knock,2015,4.9,111572
Eat Pray Love,2010,5.9,110922
Open Season,2006,6.1,110826
Letters to Juliet,2010,6.5,110461
The Highwaymen,2019,6.9,110341
Waiting...,2005,6.7,110283
Andhadhun,2018,8.2,110251
The Losers,2010,6.2,109868
"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,109643
Never Back Down,2008,6.5,109480
THE RUM DIARY,2011,6.1,109405
Small Soldiers,1998,6.3,109120
Shot Caller,2017,7.3,108755
30 Minutes or Less,2011,6.0,108649
It Comes at Night,2017,6.1,108321
Runaway Bride,1999,5.6,108168
Collateral Beauty,2016,6.8,107762
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,106975
Lady in the Water,2006,5.5,106657
The Spiderwick Chronicles,2008,6.5,106480
Hardcore Henry,2015,6.7,106284
The Boy,2016,6.0,106081
Candyman,1992,6.7,106035
The Karate Kid Part II,1986,6.1,105992
Philomena,2013,7.6,105966
Chicken Little,2005,5.7,105776
I'm Thinking of Ending Things,2020,6.5,105719
Fractured,2019,6.5,105549
My Fair Lady,1964,7.7,105541
365 Days,2020,3.3,105009
The American,2010,6.3,104948
Bedtime Stories,2008,6.0,104303
Dragonheart,1996,6.4,104286
Dante's Peak,1997,6.1,104248
Polar,2019,6.3,103923
I Am Mother,2019,6.7,103631
Spenser Confidential,2020,6.2,103519
Flipped,2010,7.7,103123
Drishyam,2015,8.2,102638
Swades,2004,8.2,102512
Lockout,2012,6.0,102462
Sling Blade,1996,8.0,102387
Hostiles,2017,7.2,102268
Project Power,2020,6.0,101701
The Smurfs,2011,5.4,101403
My Sister's Keeper,2009,7.3,101323
Rebel Without a Cause,1955,7.6,101271
Season of the Witch,2011,5.4,100951
The Pelican Brief,1993,6.6,100913
Double Jeopardy,1999,6.5,100792
Midnight Run,1988,7.5,100117
3 Days to Kill,2014,6.2,100086
Under Siege,1992,6.5,99866
War,2007,6.2,99794
Along Came a Spider,2001,6.4,99707
The Heartbreak Kid,2007,5.9,99694
The Kissing Booth,2018,5.9,99672
The Muppets,2011,7.1,99300
Frances Ha,2012,7.4,99300
Nacho Libre,2006,5.9,99160
Gosford Park,2001,7.2,99015
The Piano,1993,7.5,98998
American Ultra,2015,6.1,98848
Mary Poppins Returns,2018,6.7,98642
A Cinderella Story,2004,5.9,98638
Fallen,1998,7.0,98602
Killers,2010,5.5,98436
Surf's Up,2007,6.7,97806
Good Luck Chuck,2007,5.6,97324
American Assassin,2017,6.2,97126
Burlesque,2010,6.4,97107
Hot Rod,2007,6.7,97031
The BFG,2016,6.3,97027
The Box,2009,5.6,97021
A Monster Calls,2016,7.4,96967
No Escape,2015,6.8,96807
Case 39,2009,6.2,96796
Mona Lisa Smile,2003,6.6,96293
Kiss the Girls,1997,6.6,96274
The Pink Panther,2006,5.7,96164
The Bling Ring,2013,5.6,94542
Sex Drive,2008,6.5,94518
Kingpin,1996,6.9,94476
Righteous Kill,2008,6.0,94296
Short Term 12,2013,7.9,94160
My Girl,1991,6.9,94151
Hotel Transylvania 3: Summer Vacation,2018,6.3,93829
Mirror Mirror,2012,5.6,93825
Death Note,2017,4.5,93779
Skyline,2010,4.5,93620
The Squid and the Whale,2005,7.3,93598
Goon,2011,6.8,92905
The Social Dilemma,2020,7.6,92483
Kate & Leopold,2001,6.4,92189
Five Feet Apart,2019,7.2,92188
The Midnight Sky,2020,5.7,92175
Blue Streak,1999,6.4,92131
Our Idiot Brother,2011,6.4,91864
Haywire,2011,5.8,91813
The Tuxedo,2002,5.4,91505
Zindagi Na Milegi Dobara,2011,8.2,91459
Mile 22,2018,6.1,91139
My Week with Marilyn,2011,6.9,90831
Barfi!,2012,8.1,90756
Horns,2013,6.4,90517
Freedom Writers,2007,7.6,90375
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,90143
The Hundred-Foot Journey,2014,7.3,89943
The Flintstones,1994,5.0,89934
World Trade Center,2006,6.0,89896
Jaws 2,1978,5.8,89736
Beasts of No Nation,2015,7.7,89538
Fruitvale Station,2013,7.5,89523
Space Cowboys,2000,6.5,89388
The Christmas Chronicles,2018,7.0,89359
Young Adult,2011,6.3,89355
Christopher Robin,2018,7.2,88592
The Rainmaker,1997,7.2,87452
The Woman in the Window,2021,5.7,87341
Sex and the City 2,2010,4.5,86919
Free Willy,1993,6.1,86769
The Dig,2021,7.1,86680
Felon,2008,7.4,86553
Miss Sloane,2016,7.5,86515
Trumbo,2015,7.4,86476
MANK,2020,6.8,85899
Midnight Special,2016,6.6,85752
Outlaw King,2018,6.9,85457
